station_poi_desc_cd,line_name,transition_date,number_of_passenger
M7 YILDIZ,M7,2024-09-08,2470
M7 YILDIZ,M7,2024-09-09,1481
MODOKO KEYAP,M8,2024-09-01,617
MODOKO KEYAP,M8,2024-09-04,1847
MODOKO KEYAP,M8,2024-09-05,1840
MODOKO KEYAP,M8,2024-09-06,1910
MODOKO KEYAP,M8,2024-09-07,1114
MODOKO KEYAP,M8,2024-09-08,669
MODOKO KEYAP,M8,2024-09-09,998
Mahmutbey,M3,2024-09-01,10387
Mahmutbey,M3,2024-09-04,20134
Mahmutbey,M3,2024-09-05,20577
Mahmutbey,M3,2024-09-06,20354
Mahmutbey,M3,2024-09-07,15504
Mahmutbey,M3,2024-09-08,10007
Mahmutbey,M3,2024-09-09,14196
Mahmutbey,M7,2024-09-01,10649
Mahmutbey,M7,2024-09-02,4
Mahmutbey,M7,2024-09-03,1
Mahmutbey,M7,2024-09-04,21623
Mahmutbey,M7,2024-09-05,22157
Mahmutbey,M7,2024-09-06,21959
Mahmutbey,M7,2024-09-07,16432
Mahmutbey,M7,2024-09-08,10690
Mahmutbey,M7,2024-09-09,13230
Maltepe,M4,2024-09-01,5889
Maltepe,M4,2024-09-02,1
Maltepe,M4,2024-09-03,1
Maltepe,M4,2024-09-04,13085
Maltepe,M4,2024-09-05,13226
Maltepe,M4,2024-09-06,13379
Maltepe,M4,2024-09-07,8993
Maltepe,M4,2024-09-08,6501
Maltepe,M4,2024-09-09,10165
Masko,M9,2024-09-01,5292
Masko,M9,2024-09-04,5002
Masko,M9,2024-09-05,5419
Masko,M9,2024-09-06,5631
Masko,M9,2024-09-07,6436
Masko,M9,2024-09-08,6532
Masko,M9,2024-09-09,1045
Meclis,M5,2024-09-01,3107
Meclis,M5,2024-09-04,4829
Meclis,M5,2024-09-05,5018
Meclis,M5,2024-09-06,5101
Meclis,M5,2024-09-07,4284
Meclis,M5,2024-09-08,3282
Meclis,M5,2024-09-09,4261
Menderes,M1,2024-09-01,8806
Menderes,M1,2024-09-02,1
Menderes,M1,2024-09-04,12394
Menderes,M1,2024-09-05,12708
Menderes,M1,2024-09-06,12901
Menderes,M1,2024-09-07,12362
Menderes,M1,2024-09-08,9184
Menderes,M1,2024-09-09,10491
Merter,M1,2024-09-01,3965
Merter,M1,2024-09-02,1
Merter,M1,2024-09-04,7036
Merter,M1,2024-09-05,7282
Merter,M1,2024-09-06,7293
Merter,M1,2024-09-07,5777
Merter,M1,2024-09-08,4157
Merter,M1,2024-09-09,3262
Mevlana,M8,2024-09-01,1494
Mevlana,M8,2024-09-04,3148
Mevlana,M8,2024-09-05,3287
Mevlana,M8,2024-09-06,3268
Mevlana,M8,2024-09-07,2534
Mevlana,M8,2024-09-08,1595
Mevlana,M8,2024-09-09,3161
Mimar Sinan,M9,2024-09-01,369
Mimar Sinan,M9,2024-09-04,1001
Mimar Sinan,M9,2024-09-05,1013
Mimar Sinan,M9,2024-09-06,1089
Mimar Sinan,M9,2024-09-07,682
Mimar Sinan,M9,2024-09-08,431
Mimar Sinan,M9,2024-09-09,574
Molla Gürani,M3,2024-09-01,4221
Molla Gürani,M3,2024-09-04,6268
Molla Gürani,M3,2024-09-05,6386
Molla Gürani,M3,2024-09-06,6436
Molla Gürani,M3,2024-09-07,5874
Molla Gürani,M3,2024-09-08,4257
Molla Gürani,M3,2024-09-09,6005
Necip Fazıl,M5,2024-09-01,5267
Necip Fazıl,M5,2024-09-04,8214
Necip Fazıl,M5,2024-09-05,8491
Necip Fazıl,M5,2024-09-06,8696
Necip Fazıl,M5,2024-09-07,7794
Necip Fazıl,M5,2024-09-08,6385
Necip Fazıl,M5,2024-09-09,5497
Nispetiye,M6,2024-09-01,563
Nispetiye,M6,2024-09-04,1168
Nispetiye,M6,2024-09-05,1253
Nispetiye,M6,2024-09-06,1225
Nispetiye,M6,2024-09-07,777
Nispetiye,M6,2024-09-08,468
Nispetiye,M6,2024-09-09,758
Nurtepe,M7,2024-09-01,4093
Nurtepe,M7,2024-09-02,1
Nurtepe,M7,2024-09-03,1
Nurtepe,M7,2024-09-04,6375
Nurtepe,M7,2024-09-05,6598
Nurtepe,M7,2024-09-06,6657
Nurtepe,M7,2024-09-07,5588
Nurtepe,M7,2024-09-08,3940
Nurtepe,M7,2024-09-09,5466
